date,order,type,vo,text,accent,head,to,total,caption,value,suffix,label,source,title,lines,sub,keyword,company,location,pay,time,photo,captions
2026-08-28,1,hook,You didn't get rejected. You got ranked.,YOU DIDN'T GET REJECTED. YOU GOT RANKED.,RANKED,,,,,,,,,,,,,,,,,,
2026-08-28,2,rank,"A recruiter with four hundred applicants doesn't read four hundred resumes. They search three keywords, get a ranked list, and work down from the top. You came back at three forty.",,,,340,400,applicants,,,,,,,,,,,,,,
2026-08-28,3,rejection,"This is the email you got back. Automated, four twelve in the morning, sent to everyone below the fold.",,,,,,,,,,,,,,,Northwind,,,Mon 4:12 AM,,
2026-08-28,4,hook,Nobody rejected you. Nobody ever opened it.,NOBODY REJECTED YOU. NOBODY EVER OPENED IT.,OPENED,,,,,,,,,,,,,,,,,,
2026-08-28,5,stat,And here's the part that should annoy you. Forty three percent of the resumes that fail never failed on content. They failed on formatting.,,,,,,,43,%,"of parsing failures are caused by formatting, not content","ResumeAdapter, 10,000 scans, Q1 2026",,,,,,,,,,
2026-08-28,6,test,"Before you apply again, do this. Copy your resume. Paste it into a blank notepad file.",PASTE YOUR RESUME INTO A BLANK NOTEPAD FILE,,60-SECOND TEST,,,,,,"IF IT SCRAMBLES, THAT'S WHAT THE MACHINE SEES",,,,,,,,,,,
2026-08-28,7,prompt,"So run this before you apply again. Paste your resume in, and it flags every thing that breaks the parser.",,,,,,,,,,,PROMPT 5 — THE FORMAT CLEANER,"Act as an ATS parser. Review my resume
formatting below and flag anything that
could cause a parsing error or rank me
lower: multi-column layouts, tables, text
in headers/footers, graphics, non-standard
section titles. Then give me a clean,
single-column structure that parses
reliably.

MY RESUME: [PASTE]",,,,,,,,
2026-08-28,8,cta,Four more like it in the free pack. Comment the word pack and I'll send it.,FREE PROMPT PACK,,,,,,,,,,,,,PACK,,,,,,
2026-08-29,1,hook,Recruiters don't browse LinkedIn. They search it.,RECRUITERS DON'T BROWSE LINKEDIN. THEY SEARCH IT.,SEARCH,,,,,,,,,,,,,,,,,,
2026-08-29,2,rejection,Meanwhile the inbox looks like this. Not because you're bad. Because search never surfaced you.,,,,,,,,,,,,,,,Northwind,,,Thu 4:12 AM,,
2026-08-29,3,test,"Do this now. Open LinkedIn, search the exact job title you want, and set the filter to people. Then find yourself.",SEARCH THE JOB TITLE YOU WANT. NOW FIND YOURSELF.,,30-SECOND TEST,,,,,,"NOT ON PAGE ONE? NEITHER ARE YOU, TO THEM",,,,,,,,,,,
2026-08-29,4,hook,Your headline is the field that search weighs most. Most people spend it on the two words already printed under their name.,YOUR HEADLINE IS THE FIELD SEARCH WEIGHS MOST.,HEADLINE,,,,,,,,,,,,,,,,,,
